lafz	aeraab	qism	maani_en
زردچوبه		noun	turmeric
دبیرستان		noun	secondary school, high school
رهبری		noun	leadership
خشونت خانگی		noun	domestic violence
چرب		adj	fatty
کتابدار		noun	librarian
پایتخت	پَایْتَخْت	noun	capital, capital city
ممنون		adj	grateful, thankful
جهانگرد		noun	tourist
بچه قورباغه		noun	tadpole
زیرنویس		noun	subtitle.
خوکچه		noun	piglet
میانجیگری		noun	mediation
میانجیگری نمودن		verb	to mediate
میانجیگری کردن		verb	to mediate
چزمه		noun	A type of boot
روشنفکر		adj	enlightened
بادکنک		noun	balloon
ایلی		adj	tribal
هوو		noun	sister-wife
خزنده		noun	reptile
امپراتوری		adj	imperial
رنگارنگ		adj	colourful
آشپزی		noun	cookery
بهشتی		adj	paradisiacal; of, or relating to, paradise
نماینده		noun	delegate
دستگاه		noun	machine
اتو		noun	clothes iron, flatiron
مجازات		noun	punishment
کرگدن		noun	Indian rhinoceros
راهنما		noun	guide
جنبش	جُنْبِش	noun	movement
لنگرگاه		noun	harbour
خاکستر		noun	ash, cinders
درگذشتن		verb	to pass away
زادگاه		noun	birthplace, hometown
پیشنهاد		noun	suggestion, proposal
آخ		intj	ouch
دنده		noun	rib
بمباران		noun	bombing
همشیره		noun	sister
هماهنگ		adj	harmonious
یاوری		noun	assistance
عود		noun	incense
ژاژومک		noun	pulse, French bean
باران باریدن		verb	to rain
ژکفر		adj	patient
ژکفری		noun	patience
اعنی	اَعنی	adv	that is to say, namely
اغتشاش		noun	disturbance
افراشتن		verb	to raise, to elevate, to lift, to exalt, to erect
افراختن		verb	to raise, to elevate
آفتابه		noun	ewer, ibrik
افزودن		verb	to increase; to add
لرزه		noun	shivering
پزیدن		verb	to cook
فال گرفتن		verb	to divine the future
افتادن	اُفتادَن	verb	to fall
نبردناو		noun	battle cruiser
بابک		noun	a little father
نوا		noun	The name of a mode (دستگاه (dastgâh)) in Persian classical music.
روزگار		noun	time
لب گرفتن		verb	to kiss, to make out
پیشگیر		noun	towel
شناسنامه		noun	ID card
دانشنامه		noun	encyclopedia
فرهنگنامه		noun	dictionary
بزودی		adv	shortly,
چروک شدن		verb	to wrinkle
آسیایی		adj	Asian, Asiatic
آزمایشگاه	آزمایِشگاه	noun	laboratory
گلچه		noun	floret
اتو کردن		verb	to iron
بین نژادهای مختلف		adj	interracial
دستارسر		noun	turban
گلپر		noun	golpar, Persian hogweed (Heracleum persicum) (the seeds, leaves and stalks are used in Persian cooking)
نینتندو		noun	Nintendo
با		prep	with (someone)
دگمه		noun	button
ها		intj	yeah, yes
پولدار		adj	rich, well-off, wealthy (possessing much money)
دانلود کردن		verb	to download
گلبرگ		noun	petal, rose petal
نیروگاه		noun	power station, power plant
تلفن همراه	تِلِفُنِ هَمْراه	noun	mobile, mobile phone
پشه		noun	mosquito
پستاندار		noun	mammal
مهبانگ	مِهبانگ	noun	Big Bang (the theory)
عکس گرفتن	عَکس گِرِفتَن	verb	to take a photograph
رژیم گرفتن		verb	to go on a diet
دوش گرفتن		verb	to take a bath or shower
تصمیم گرفتن		verb	to make a decision
رقصیدن		verb	to dance
برگشت		noun	return
برگشتن		verb	to return, to come back
دژخیم		adj	malignant
سخنرانی		noun	speech
جانماز		noun	prayer rug, prayer mat
کشتگی		noun	murder
خاکروبه		noun	rubbish
رأی		noun	opinion, view
ورع		noun	pious abstinence; self-abnegation
همکار		noun	colleague
شنبلیله		noun	fenugreek
تنگه		noun	strait
فرار مغزها		noun	brain drain
استفاده		noun	use
نفس کشیدن		verb	to breathe, draw breath
سیگار کشیدن		verb	to smoke (cigarettes)
خستگی	خَستِگی	noun	tiredness
پریروز		adv	the day before yesterday
مجازات مرگ		noun	death penalty
مسابقه		noun	competition; match; contest
نرم نرمک		adv	softly, softly
رنگین		adj	coloured, colored
پسرک		noun	little boy, lad
شهسوار		noun	knight
تبریک گفتن		verb	to congratulate
سپیده		noun	dawn, first light
فمینیسم		noun	feminism
شهردار		noun	mayor
مستضعفان		noun	the oppressed, the poor and needy; plural of مستضعف
جانبازان		noun	disabled war veterans of the Iran-Iraq War; plural of جانباز
جانباز		noun	one who would offer up their life
صورت گرفتن		verb	to take place
جوجه		noun	chick (baby bird)
چرخیدن		verb	to rotate, turn, revolve, spin (to move around an axis)
راستگو		adj	truthful
بنگاه		noun	institute, institution
رودخانه		noun	river
پیازچه		noun	spring onion
سقط جنین		noun	abortion
گذرنامه		noun	passport
چرت و پرت		noun	nonsense
استفاده کردن		verb	to use
رویا		adj	growing
نیرومند		adj	strong
نژادپرستی		noun	racism
نژادپرست		noun	racist
یهودستیزی		noun	anti-Semitism
شمشیربازی		noun	fencing
سرنوشت		noun	destiny; fate
کمانچه		noun	kamancheh
کارشناس		noun	expert
اوج		noun	acme
صندوقدار		noun	cashier
نارنجک		noun	grenade
کمربند		noun	belt
دخترک		noun	little girl
هجرت		noun	Hegira, Hijra
وعظ		noun	sermon
خصمانه		adj	hostile; (adverbially) hostilely
خوی		noun	helmet
وقع		noun	regard, consideration
مساحت	مَساحَت	noun	area
المزده		adj	heartbroken
لرزان		adj	trembling
تندپز		noun	microwave oven
کنجکاو		adj	curious, inquisitive
فروهر		noun	faravahar, fravashi (Zoroastrian and Iranian symbol)
کوبیده		adj	pounded
وش		noun	boll
ضرب اسکالر		noun	scalar product
درباره		prep	من دنبال کتابی درباره شعر فارسی میگردم.
man donbâl-e ketâb-i dar-bâre-ye še'r-e fârsi mi-gardam.
I'm looking f
گزیدن		verb	to bite
سبزه		noun	grass
بشکن		noun	snapping (one's fingers)
بشگن		verb	snapping (one's fingers)
ارغمچین		noun	rope
عدو		noun	enemy, foe
دخترباز		noun	womanizer
ژئوفیزیک		noun	geophysics
