lafz	aeraab	qism	maani_en
دارا بودن		verb	to have, to possess (lit. to be possessor of)
خدا را شکر		intj	thank God
وحشتناک		adj	horrible, terrible, awful
همکاری کردن		verb	to cooperate
غیررسمی		adj	unofficial
دویی		noun	duality, dualism
برشمردن		verb	to enumerate
کالبدشناسی		noun	anatomy
سوراخ بینی		noun	nostril
نوروزی		adj	of or pertaining to Nowruz
شبانگاه		noun	nightfall
سراینده		noun	composer (of words)
چمباتمه زدن		verb	to squat
پریشب		adv	the night before last
بازداشت		noun	arrest, detention
بیهوده		adj	ineffective, useless, futile, pointless, trivial
صدمه دیده		adj	damaged; injured
مهاراجه		noun	maharaja
شباهنگ		noun	bulbul, nightingale
شرح دادن		verb	to explain
راجستانی		adj	Rajasthani
آهنگین		adj	musical, melodic
تمییز دادن		verb	to distinguish
برای اینکه		conj	because
مجرد		noun	unmarried (person)
قزلباش		noun	Qizilbash (warrior follower of the Safaviyya order of Sufis that ruled Iran from 1501, marked by their twelve-
کلوچه		noun	cookie
ناگهان		adv	suddenly
یکدفعه		adv	suddenly
یهو		adv	suddenly
تکان خوردن		verb	to quake, to shake
کماکان		adv	still
هماهنگی		noun	harmony, coordination
کمند		noun	lasso, noose
حمل و نقل		noun	transportation
تکاپو		noun	striving, struggle, effort, hustle
غژگاو		noun	yak
والسلام		intj	that's that, end of story, period
شکستنی		adj	breakable
در رفتن		verb	to get away (to escape)
شکننده	شِکَنَنده	adj	breakable, fragile
برگرداندن		verb	to return (something), give back, hand back; send back
دلسوز		adj	compassionate, sympathetic; moved by pity
نگه داشتن	نِگَه داشتَن	verb	to hold, to keep
کلنگ		noun	pickaxe
دردمند		noun	sick, ill
خمیده		adj	curved, bent, crooked
عد		noun	a great number, a multitude
رغبت		noun	propensity, liking, desire (for)
آرزومند		adj	wishful, desirous; eager
ریجکس		noun	regex; regular expression
ناگفتنی		adj	unspeakable
نردشیر		noun	backgammon
نکونام		adj	of good repute
گمرک		noun	customs
غیرنفتی		adj	non-oil
واش		noun	grass
گنجور		noun	treasurer
لوکوموتیو		noun	locomotive
پشمین		adj	woolen (US) or woollen (UK); wooly (US) or woolly
لرزیدن		verb	to shiver, to shudder; to shake, to tremble
کلفت		adj	thick (having a large diameter)
یاسا		noun	Yassa
زرگر		noun	goldsmith
خمیدگی		noun	curviness
پیکربندی		noun	configuration
دریاسالار		noun	admiral
پرطرفدار		adj	popular (liked by many people)
کشکول		noun	beggar
کاشانه		noun	small house
یم		noun	sea
سپهسالار		noun	sipahsalar
فغفور		noun	emperor of China
کلیچه		noun	disk
کپه		noun	heap, pile
رسیدگی		noun	investigation, examination
پنداشتن		verb	to think
بابونه		noun	camomile
جنگاور		noun	warrior
غلتیدن		verb	to roll
جنبیدن		verb	to shake, quiver, vibrate
چغرات		noun	dripped yogurt
تطابق		noun	conformity; agreement
برزکوه		noun	high mountain
خرامیدن		verb	to strut, prance
پژمردن		verb	to wither, to fade
سرشتن		verb	to knead
ابرنجک		noun	lightning
جایگزین		noun	surrogate, substitute, replacement
بنابراین	بِنابَراین	adv	thus, therefore
شکیفتن		verb	to be patient, wait
پراکندن		verb	to scatter, disperse
نگاشتن		verb	to draw, paint
تاختن		verb	to run; chase
تافتن		verb	to twist
قلمرو		noun	realm, dominion; territory; jurisdiction
قلمدان		noun	pen box
تحلیلگر		noun	analyst
تفسیدن		verb	to become hot
انبوییدن		verb	to smell
بخشودن		verb	to forgive, pardon, have mercy
ربودن		verb	to seize, snap
شنوشه		noun	sneeze
اشکفت		noun	cave
سکیزه		noun	jump, leap
سکیزیدن		verb	to jump, leap
بازشناختن		verb	to recognize
کامستن		verb	to wish, to desire
سهستن		verb	to seem
پیختن		verb	to twist; wrap
پژوهیدن		verb	to examine, to investigate, to research
اوان		noun	time, season
آوام		noun	time, season
بسنده		adj	sufficient; (adverb) enough
اوژنیدن		verb	to kill, to slay
ژیگول		noun	dandy, beau
زغال		noun	coal
کپسول		noun	capsule
سرزنده		adj	lively
کالنگ		noun	clam
کارگردان		noun	director, producer
رسانه		noun	media; media outlet
پنکه		noun	fan (electrical device)
قضاوت		noun	verdict; judgement
پایبند		adj	faithful, adherent, committed, bound
سنگک		noun	small stone
مار در آستین پروراندن		verb	to nourish a viper in one's bosom
افسردگی		noun	depression
شهروند		noun	citizen
شهروندی		noun	citizenship
ساربان		noun	caravanner, caravaneer (leader of caravan)
لرزش		noun	tremor
قلمبه		noun	lump
ایر		adj	noble
مجهز	مجهّز	adj	equipped
همهمه		noun	tumult
گروگان		noun	hostage
سنبله		noun	ear of corn
تاپه		noun	stamp, seal
متاهل		adj	unhamzated form of متأهل
نظرسنجی		noun	opinion poll
پشمک		noun	candy floss
لزگه		noun	piece, slice
پستانک		noun	dummy, binky, pacifier (a plastic or rubber teat used to soothe or comfort a baby)
نگندن		verb	to bury
گردباد		noun	whirlwind, tornado
دغدغه		noun	worry, angst
اصطکاک		noun	friction
نیو		adj	brave, valiant
سپریغ		noun	bunch (of grapes or dates)
رخشیدن		verb	to shine
نشپیل		noun	fishing rod
شهرک		noun	town
جشنواره	جَشْنْوارِه	noun	festival
تازیانه		noun	whip
کروگر	کَروگَر	noun	creator
مقتول		noun	murdered person, killed person
سربند		noun	headband
شکستگی		noun	fracture
اف		noun	Transliteration of the name of the letter f in English and other European languages.
اسیدپاشی		noun	acid attack
خجالتی		adj	shy
خجالت		noun	embarrassment; shame; bashfulness; shyness
جواهرفروش	جَواهِرفُروش	noun	jeweller
جواهرفروشی		noun	jeweller's, jewellery shop
بین التعطیلین		noun	a day that falls between two holidays and becomes an unofficial holiday
عزا		noun	mourning
زنجیرزنی		noun	Ritual self-flagellation with chains, especially during the mourning period of Muharram.
نواربهداشتی		noun	sanitary pad, sanitary towel
بهداشتی		adj	hygienic
بهداشت		noun	hygiene, health science
خونریزی		noun	bleeding, a bleed, haemorrhage
مظنون		adj	suspected
مظنونین		noun	broken plural of مظنون (maznūn /maznun)
بشردوستی		noun	humanitarianism
بشردوست		noun	humanitarian
پرتوزا		adj	radioactive
لرزانک		noun	jelly
جداگانه		adj	solitary
تخمک		noun	ovum, egg cell
وزوز گوش		noun	tinnitus
ملاطفت		noun	kindness, affection
گوگولی مگولی		adj	sweet, cute
مشاجره		noun	dispute, quarrel, argument, brannigan
میزبانی وب		noun	web hosting
وین		noun	black grape
راننده		noun	driver
نمکدان		noun	salt cellar, salt shaker
ایرا		conj	herefore, for this reason, because
فا		noun	F, Fa (the fourth note of the fixed-Do solfège scale)
کر آنگله		noun	cor anglais
تنبان		noun	breeches
عصا		noun	stick, rod, staff
بازسازی		noun	reconstruction, reconstitution
پیکارجو		noun	militant
لپه	لپّه	noun	yellow split pea
پناهجو		noun	asylum seeker
پذیرش		noun	acceptance
دادمه		noun	elder
زرمان		noun	decrepit old man
فرچه		noun	shaving brush
گلخانه		noun	greenhouse
سیستم عامل		noun	operating system
حاملگی		noun	pregnancy
سوزاک		noun	gonorrhoea
کلامیدیا		noun	chlamydia
سیفلیس		noun	syphilis
بیماری آمیزشی		noun	sexually-transmitted disease
دستمال کاغذی		noun	paper handkerchief, tissue
هپاتیت ب		noun	hepatitis B
هپاتیت سی		noun	hepatitis C
هپاتیت ویروسی		noun	viral hepatitis
ورزشگاه		noun	stadium
انرژی اتمی		noun	atomic energy
انرژی مکانیکی		noun	mechanical energy
انرژی جنبشی		noun	kinetic energy
کشتارگاه		noun	abattoir
انیمیشن		noun	animation
پرفروش		adj	best-selling
پلوپز		noun	rice cooker
ناپاز		adj	impure
پازش		noun	purification, cleaning, cleansing
کنشگر		noun	activist
کنشگری		noun	activism
پنیرک		noun	mallow, malva
تست بارداری		noun	pregnancy test
فوتبال آمریکایی		noun	American football
قارچی		adj	fungal, of or pertaining to fungi or mushrooms
یوز		noun	cheetah
ایستگاه قطار	ایسْتْگاهِ قَطار	noun	railway station
زیستگاه		noun	habitat
سردبیر		noun	editor-in-chief
همبستگی		noun	solidarity
اقتصاددان		noun	economist
سود سهام		noun	dividend (a pro rata payment of money by a company to its shareholders)
ژی		noun	pond, lake, mere
استقرار		noun	establishment, installment
علو		noun	height
فقدان		noun	privation, absence, lack
دستگاه گلژی		noun	Golgi apparatus
حاء		noun	the name of the Arabic script letter ح
طاء		noun	the name of the Arabic script letter ط
ظاء		noun	the name of the Arabic script letter ظ
کمبیزه		noun	Armenian cucumber
بلمه		noun	long or thick beard
سگرنه		noun	porcupine
درونه		noun	bow related senses
بلسک		noun	spit
نشلیدن		verb	to set; put; place
منجر شدن		verb	to result
پخسیدن		verb	to wither
فرخسیدن		verb	to dance
دژمان		adj	upset, sorry
بشقاب		noun	plate, dish
غلیواج		noun	kite
سپزگ		noun	talebearer, telltale
گریچه		noun	room, chamber
گردهمایی		noun	meetup
پالیدن		verb	to seek
سنکوپ		noun	syncope (loss of consciousness)
منگوله		noun	tassel
لانجین		noun	a large earthen bowl
زلیفن		noun	threat
مقررات		noun	provisions, requirements, stipulations
بگماز		noun	drinking party; banquet
مرگبار		adj	lethal, mortal, deadly
گلدار		adj	flowering
روبنده		noun	face veil, niqab (a veil which covers the face, worn by some Muslim women as a part of sartorial hijab)
دستگیری	دَسْتْگیری	noun	arrest
خشکسالی		noun	drought
فرخنده		adj	lucky, fortunate, blessed
امتداد		noun	extension, prolongation
تخمدان		noun	ovary (female reproductive organ)
بدخیم		adj	malignant
ایستگاه فضایی	ایسْتْگاهِ فَضایی	noun	space station
ایستگاه مترو		noun	underground station, tube station, metro station
شربت		noun	sharbat, sherbet
غربت		noun	exile (as a state); being away from one's native land
قربت		noun	proximity, nearness, closeness
لعبت		noun	toy, plaything
نسبت		noun	relation; connection
تهاجم		noun	invasion, offensive
ساو		noun	tribute
رع		noun	Ra, ancient Egyptian deity of the Sun
فی		noun	tribute
یوزپلنگ		noun	cheetah
روا		adj	allowable, permissible, admissible, lawful
قوا		noun	military, forces
دعوا		noun	quarrel, dispute, argument, disagreement
لپان		adj	glittering
زبان گنجشک		noun	ash tree
وتو		noun	veto
سالگرد		noun	anniversary
روزمره		adj	everyday, quotidian
داس و چکش		noun	hammer and sickle
وام		noun	loan
پلانکتون		noun	plankton
پناهندگی		noun	asylum
پناهندگی سیاسی		noun	political asylum
تدفین		noun	burial, inhumation
بشردوستانه		adj	humanitarian
قاچاقچی		noun	smuggler, trafficker
سانتریفیوژ		noun	centrifuge
بیچاره		adj	helpless, poor
مهمانخانه		noun	guesthouse
جهاندیده		adj	experienced
چهارپا		noun	tetrapod, quadruped
دولتمند		adj	wealthy
موشک بالیستیک		noun	ballistic missile
خبرگزاری		noun	news agency
دوجانبه		adj	bilateral
اسپرز		noun	spleen, milt
نت چنگ		noun	quaver or eighth note (US)
نت دولا چنگ		noun	semiquaver or sixteenth note (US)
استعمارگری		noun	colonialism
برنده		noun	winner
منتقد		noun	critic, reviewer
خواننده اپرا		noun	opera singer
کنسرتو		noun	concerto
کاتالوگ		noun	catalogue
خوشبخت		adj	happy with life, fortunate, fulfilled in life
پنجم درست		noun	perfect fifth
ویرا		adj	aware, learned
اموی		adj	Umayyad
پروتستانی		adj	Protestant
گوی		noun	ball
کلاهک		noun	cap
زغال اخته		noun	Cornus mas, cornel
هشتم		adj	eighth
هفتم		adj	seventh
پنجم		adj	fifth
دوازدهم		adj	twelfth
سیزدهم		adj	thirteenth
چهاردهم		adj	fourteenth
پانزدهم		adj	fifteenth
شانزدهم		adj	sixteenth
هفدهم		adj	seventeenth
نوزدهم		adj	nineteenth
چهلم		adj	fortieth
پنجاهم		adj	fiftieth
هفتادم		adj	seventieth
هشتادم		adj	eightieth
میلیونم		adj	millionth
لجباز		adj	headstrong
عار		adj	shame, ignominy
نیله		noun	synonym of نیل
لاله واژگون		noun	fritillary (plant)
واژگون		adj	upside down (inverted)
سپهبد		noun	commander of army, especially in the Sassanian army
پرهیز		noun	abstinence, abstaining, avoidance
فرسایش		noun	erosion
مارپیچ		noun	spiral
پیچه		noun	helix (shape)
رمزنگاری		noun	cryptography
رمزگشایی		noun	decryption
رمزگذاری		noun	encryption
نامتقارن		adj	asymmetric, asymmetrical
افشا شدن		verb	to be exposed
جوگیر شدن		verb	to get carried away
بی قید و شرط		adj	unconditional
گرمسیری		adj	tropical
نورشناسی		noun	optics
ترفند		noun	trick (dexterous or cunning method)
فاخته		noun	dove, especially of genus Streptopelia
اسپرزه		noun	psyllium
بالکانه		noun	lattice window
سر کیسه را شل کردن		verb	to spend more money, to spend money more readily (literally, "to loosen the drawstring of the bag")
پرداختن	پَرداختَن	verb	to spend
انگیزه		noun	motivation
دستمزد		noun	wage, pay; stipend
جوشیدن		verb	to boil
دو تا هندوانه را با یک دست برداشتن		verb	to pick up or lift two watermelons using one hand
کنار زدن		verb	to draw, pull open, open (the curtains)
سسک		noun	warbler
فرتور		noun	reflection
الفختن		verb	to collect
اندوختن		verb	to collect, to amass, to gather
افسردن		verb	to cool down; freeze
گساردن		verb	to soothe, allay, quell, quench
بازیگری		noun	acting
جا افتادن		verb	to integrate, settle in, fit in
جمع شدن		verb	to gather together, gather up, assemble, gather as a group
جلبک دریایی		noun	seaweed
نجات دادن		verb	to save, rescue (from danger)
مونتاژ کردن		verb	to assemble (for example, furniture, cars, instruments)
شپلیدن		verb	to whistle
برشتوک		noun	A traditional Iranian pastry made with gram flour.
شتابگر		noun	accelerator
بهانه		noun	excuse (explanation designed to avoid guilt)
طرفداری کردن		verb	to favour, side with
باربند		noun	luggage rack, roof rack
بازاریابی		noun	marketing (the promotion, distribution and selling of a product or service)
لسپردرک		noun	hand towel, handkerchief
بلورین		adj	crystalline
سرگیجه		noun	vertigo
دنبال کردن		verb	to go after
بارگاه		noun	hall of audience, reception hall; place where guests, envoys, etc., are greeted or sent away
بارگه		noun	palace
واپسگرا		adj	retrogressive
دلواپس		adj	worried, anxious, solicitous
سطل آشغال		noun	garbage can
سطل زباله		noun	garbage can
برجسته	بَرجَستِه	adj	notable, prominent
فرمانروا		noun	ruler
فرماندار		noun	governor
نامدار		adj	famous
توانمند		adj	capable
توانمندی		noun	capability
رزمایش		noun	maneuver, military training exercise
باغبانی		noun	gardening
باغبان		noun	gardener
هیپوتالاموس		noun	hypothalamus
کاهش		noun	decrease, reduction
یهویی		adv	suddenly
چدار		noun	hobble
حاوی		adj	contained, containing
خونسرد		adj	cold-blooded (having an unregulated body temperature)
چراغ راهنمایی		noun	traffic light, traffic signal
راهنمایی		noun	guidance
بازنده		noun	loser (a person who loses; one who fails to win)
ناموفق		adj	unsuccessful (of a person, that does not have much success, for example in life)
کپک		noun	bran
چرخش		noun	rotation
گاوصندوق		noun	safe (a box in which valuables can be locked for safekeeping)
ورخچ		adj	wretched; mean
نهیب زدن		verb	to yell, shout (to make a loud sound with the voice, often out of anger, to tell someone off or to get attenti
مرحمت کردن		verb	to give, to grant
سراشیبی		noun	downhill (slope)
کپک زدن		verb	to get mouldy
جا دادن		verb	to fit (in a space), make room for
فرو ریختن		verb	to crumble
متبرک		adj	blessed
شغال باران		noun	sudden downpour, cloudburst
پشتک		noun	somersault, flip
بازیافت		noun	recycling
سازنده		adj	productive
بلافاصله		adv	immediately
بانمک		noun	cute
ناپذیرفتنی		noun	unacceptable
چغزراوه		noun	duckweed
حسادت		noun	envy, jealousy
کوزابری		noun	ewer
لخشک		noun	noodle
کرپه		noun	lambkin
چاو		noun	A paper money used in medieval China and briefly introduced by the Mongols to Iran in 1294; the first paper cu
بروفه		noun	towel
نسبت دادن		verb	to attribute
شفابخش		adj	remedial, medic
مقابله		noun	opposition, confrontation
ماربلاش		noun	newt
شخلاسه		noun	hail
پهناور		adj	vast; immense
بیکران		adj	boundless, immense
از بین رفتن		verb	to be destroyed, to be annihilated
سرزنش		noun	blame
سرانجام		adv	finally, eventually
بازداشتن		verb	to withhold, to restrain, to prevent
همچنان		adv	likewise, in such a manner, thus
گذراندن		verb	to spend; to pass (especially of time)
بگران		noun	sorrel (color)
سقرلات		noun	scarlet (color)
چغبوت		noun	batting
چگال		adj	dense
چله		noun	a period of time (especially one of forty days)
جلبک		noun	alga
آبگرمکن		noun	water heater
یارا		noun	strength, power, ability
روشنگری		noun	enlightenment
سرسخت		adj	obstinate, hard-headed, tenacious, headstrong
فلشک		noun	flask; gugglet
نستوک		noun	roving or sliver (fibre)
فرخشنه		noun	qatayef
سرخرگ		noun	artery
سیاهرگ		noun	vein
پلخته		noun	wicker basket
ثروتمند		adj	wealthy, rich
ورشکستگی		noun	bankruptcy
پستچی		noun	postman
سحرباز		noun	magician
خوکچه هندی		noun	guinea pig
سویا		noun	soya
عصبانیت		noun	anger, rage
کارت اعتباری	کارْتِ اِعْتِباری	noun	credit card
کلاهبرداری		noun	fraud
بلدرچین		noun	quail
خوردگی		noun	corrosion
عز		noun	glory, grandeur
منگنه		noun	stapler
پیکسل		noun	badge, button (US), pin-back button (US)
لبنیات		noun	dairy products, dairy
سرنشین		noun	passenger
پوشیه		noun	mask, face veil, niqab (a veil which covers the face, worn by some Muslim women as a part of sartorial hijab)
شماره تلفن		noun	telephone number, phone number
داوطلب		noun	volunteer
ورزشکار		noun	athlete
گورخواب		noun	A homeless person who has to sleep in a grave for shelter.
بازیکن فوتبال		noun	footballer, football player
بازیکن		noun	player (of a game)
سالروز		noun	anniversary
نابرابری		noun	inequality
تلفن هوشمند		noun	smartphone
کنسولگری		noun	consulate
کارفرما		noun	employer, boss
فروشگاه		noun	shop, store
جنگیدن		verb	to fight
زیرزمین	زیرزَمین	noun	cellar, basement
کلفخشنگ		noun	dripstone; stalactite or stalagmite
فیزیکدان		noun	physicist
ایزوتوپ		noun	isotope
روده کوچک		noun	small intestine
گزارشگر		noun	reporter
دستگاه گوارش		noun	digestive system
نکوهیدن		verb	to blame
اشنوسیدن		verb	to sneeze
فرود آمدن		verb	to go down
شامگاه		noun	evening, dusk, eventide, twilight
اپیدورال		noun	epidural (anaesthetic)
سزارین		noun	Caesarean section, Caesarean, C-section
دهانه رحم		noun	cervix
سرطان دهانه رحم		noun	cervical cancer
زایمان زودرس		noun	premature birth, premature labour
زودرس		adj	early, premature
افسردگی پس از زایمان		noun	postnatal depression, postpartum depression
خجسته		adj	fortunate, auspicious
شلوارک		noun	shorts
راک اند رول		noun	rock and roll
راهپیمایی		noun	rally, march
گشنیدن		verb	to impregnate, fecundate
شتافتن		verb	to hasten
شتابیدن		verb	to hasten
وژولیدن		verb	to stimulate
فراموشیدن		verb	to forget
دروغ گفتن		verb	to lie, to tell lies
برای چه		adv	why
کالفته		adj	confused, bewildered
پیشرفته		adj	advanced; sophisticated
دارابزین		noun	balustrade
تطابق کردن		verb	to conform, to be conform
کلبتان		noun	tongs
کلبتین		noun	tongs
زیانکار	زِیانکار	adj	harmful
گذرواژه		noun	password
بر حذر بودن		verb	to be cautious
نمودار		noun	diagram
پدیدار	پَدیدار	adj	visible, evident, apparent, observable
وسع		noun	ability, capacity; (now usually) financial capacity
بر پای خاستن		verb	to stand up
دوباره مجذوب شدن		verb	re-engage
سنبادیه		noun	a cult, followers of Sindbad (Sunpadh) the Magus
پوره		adj	whole
سنبوسه		noun	sambuseh (Iranian pastry with a triangular shape, similar to Indian samosa)
سازگار		adj	compatible
پاراگراف		noun	paragraph
گرمایش زمین		noun	global warming
روغن نارگیل		noun	coconut oil
دژآگاه		adj	bellicose, bloodthirsty.
رهنامه		noun	periplus
گلوتن		noun	gluten
پیشگیری		noun	prevention
استارتاپ		noun	start-up, startup (a new company or organisation or business venture designed for rapid growth)
اسپینر		noun	fidget spinner
ترخینه		noun	tarhana
پرگاله		noun	particle
توانگری		noun	riches, wealth
بانکه		noun	jar
اهل مجلس		noun	"the audience, the invited people"
کاونجک		noun	muskmelon
اهل هنر		noun	"skilled person(s)"
سرسبز		adj	covered with grass and/or other vegetation; green
محاصره		noun	siege, blockade
برپا کردن		verb	to set up
حاخشوک		noun	sickle
مرزه		noun	savory, summer savory
چرخچی		noun	carter (one who transports something by cart)
شکرشکن		adj	sugar-breaking
بی چشم و رو		adj	ungrateful
زاستر		adv	away; beyond
چوغور		noun	sparrow
پاشنه		noun	heel (of a foot)
نسپار		noun	winepress
سترگ		adj	stark, thick, tough, rugged
رنجبر		noun	toiler, drudge
مفسد فی الارض		noun	someone who has spread corruption on Earth, a broadly defined capital crime in Iran
حبسیه		noun	prison poem, habsiyyat
دستباف		noun	handmade knitting
پفلنگ		noun	balloon
تپانچه		noun	handgun, pistol
نوروفیبروماتوز		noun	neurofibromatosis
چندزنی		noun	polygyny
چندهمسری		noun	polygamy
استروژن		noun	oestrogen (UK), estrogen (US)
فرگشت		noun	the evolution (theory)
مادرزادی		adj	congenital
مزلنگ		noun	eyelash
گرجه		noun	plum
گزینه		noun	choice
پاگشا		noun	Pagosha, a reception held for a recently-married couple according to traditional Iranian custom.
ویتامین ث		noun	vitamin C
ویتامین دی		noun	vitamin D
دیابت بارداری		noun	gestational diabetes
کبد چرب		noun	fatty liver
داروشناسی		noun	pharmacology
داروشناس		noun	pharmacologist
مخملک		noun	scarlet fever
سردرد		noun	headache
رفتگر		noun	dustman, street-sweeper
مرزش		noun	having sex
دامپزشک		noun	vet, veterinary surgeon, veterinarian (Aus, US)
دامپزشکی		noun	veterinary medicine
گلبول قرمز		noun	red blood cell, erythrocyte
هموگلوبین		noun	haemoglobin, hemoglobin (US)
گلبول سفید		noun	white blood cell, leucocyte or leukocyte
سرسره		noun	slide
سرسره آبی		noun	water slide
کوهنوردی		noun	mountaineering
کنجکاوی		noun	curiosity
ناباروری		noun	infertility
قرص اورژانسی		noun	morning-after pill, emergency contraceptive pill
ناخواسته		adj	unwanted
سفیده		noun	egg white
پفک		noun	cheese puff
چرخ خیاطی		noun	sewing machine
رختخواب	رَخْتِخواب	noun	bedroll
بغامه		noun	A demon inhabiting the deserts.
سازدهنی		noun	harmonica
گریبان		noun	collar
آنژین صدری		noun	angina pectoris
سرشماری		noun	census, headcount
نامزدی		noun	engagement, betrothal
حلقه نامزدی		noun	engagement ring
گورخوابی		noun	The act of sheltering in a grave to sleep due to homelessness.
ضخامت		noun	thickness
اسپری فلفل		noun	pepper spray
کوکتل مولوتف		noun	Molotov cocktail
بارگنج		noun	container (very large, typically metal, box used for transporting goods)
کشیک دادن		verb	to guard
خفگی		noun	suffocation; asphyxiation
پادگان		noun	garrison
پوشش دادن		verb	to cover (place something over or upon, as to conceal or protect)
رادیکال		adj	radical
موفقیت		noun	success
متشکر بودن		verb	to be thankful, to be grateful
سپاسگزار بودن		verb	to be thankful, to be grateful
ممنون بودن		verb	to be thankful, to be grateful
ممنونم		intj	thank you
ساعت هوشمند		noun	smartwatch
نفتکش		noun	oil tanker
سنگواره		noun	fossil
گهواره		noun	cot (UK), cradle
خوشبختانه		adv	fortunately
نعلبندی		noun	farriery
فشفشه		noun	sparkler
پدافند		noun	defence
تراجنسی		noun	transsexual
شمرده		adj	counted
بابابزرگ		noun	grandpa, grandfather
نباتات		noun	broken plural of نبات (nabāt /nabât)
درشته		adj	crushed, ground
فرب		noun	large river
بلنجمشک		noun	lemon balm
بلنجاسپ		noun	mugwort
گرزن		noun	wreath, crown
اختلال		noun	disruption, disturbance
پشیز		noun	fish scale
هشپلک		noun	whistle
جرامین		noun	pasture
روچه		noun	precocious or early ripe fruit
سکج		noun	raisin
سنجیدن		verb	to weigh
رهانیدن		verb	to liberate, to free, to rescue
تستوسترون		noun	testosterone
خمیرمایه		noun	leaven, yeast
رسیده		adj	aged, mature
ماهچه		noun	little moon
صدمه دیدن		verb	to get injured
صدمه زدن		verb	to injure
پیشخدمت		noun	waiter
برهوت		adj	a wasteland, a desolated desert.
فضانورد		noun	astronaut
بیشترین		adv	the most
لیو		noun	sun, sunlight
زنجره		noun	cicada
فرهست		noun	sorcery
چغندر		noun	beet
خانواده سلطنتی		noun	royal family
بردک		noun	riddle (verbal puzzle)
فوتسال		noun	futsal (a form of football played indoors)
ویولا		noun	viola
آبسنگ مرجانی		noun	coral reef
رآکتور شیمیایی		noun	chemical reactor
رآکتور		noun	reactor
همسریابی		noun	Looking for a husband or wife, a partner.
خواستگاری		noun	proposal (of marriage), especially khastegari, proposing marriage to a woman following Iranian khastegari cust
بالاخره	بِالْاَخَره	adv	finally, in the end
معدنچی		noun	miner
جدول تناوبی		noun	periodic table
مهندسی کامپیوتر		noun	computer engineering
مرورگر		noun	browser (a web browser)
مادربرد		noun	motherboard
خودتراش		noun	razor
بختک		noun	An evil spirit in Iranian folklore equivalent to Germanic mare; nightmare.
ارزشمند	اَرزِشمَند	adj	valuable
ایوار		noun	evening
شبگیر		adj	nocturnal; by night; at night
فشارسنج		noun	barometer
ولع		noun	intense yearning, ardor, (physical) passion
نگران		adj	worried; anxious
پزشکی		noun	medicine (as a subject of study)
وج		noun	sweet flag, Acorus calamus
شعاع		noun	ray, beam (of light)
گوژپشت		noun	humpback, hunchback
تورقوزآباد		noun	nowhere
مرموز		adj	cryptic, mysterious
طمطراق		noun	fanfare, splendour.
شب چله		noun	The night of the forty[-day period].
چله تابستان		noun	midsummer
چله زمستان		noun	midwinter
شب چله زمستان		noun	The night of midwinter.
محاربه	مُحارِبِه	noun	battle, fight, action, combat
خرجین		noun	saddlebag
گوالیدن		verb	to grow
رازیانه		noun	fennel
پدواز		noun	perch
نسترن		noun	dog rose
چموش		adj	restive
کنفت		adj	embarrassed
غرنبه		noun	grumble, rumble
باسترک		noun	common rock thrush
شلتاق		noun	a dispute under false pretenses; quarrel; litigation
پلارک		noun	scimitar
نهره		noun	churn
مجدانی		adj	glorious, noble, Majesty, Lord
چندش		noun	shudder
چنته		noun	sack
دفنوک		noun	ornamental covering of a saddle; saddlecloth
چجور		adv	how
جخش		noun	goitre
بادرم		noun	babble, chatter
غرمج		noun	a kind of stew
هپل هپو		noun	plunder
بادبیزن		noun	fan (hand-held device)
زودپز		noun	pressure cooker
خوا		noun	taste, flavor
گشفتن		verb	to disperse
ویم		noun	flagstone; cobblestone
نانوشته		adj	unwritten
ترفندباز		noun	trickster
منتظر	مُنتَظِر	adj	waiting (for), expecting
نماهنگ		noun	music video
زفاف		noun	wedding, marriage feast
فیزیک نظری		noun	theoretical physics
جوشکار		noun	welder
جوشکاری		noun	welding
سلول خورشیدی		noun	solar cell
شالیزار		noun	paddy field, rice paddy, paddy
همجنسگراهراس		adj	homophobic
سنباده		noun	sandpaper
بیسراک		noun	a camel's colt two years old
کفچه		noun	skimmer (sieve-like, slotted spoon)
کنگره		noun	merlon, battlement
بدحجاب		adj	badly veiled; wearing a form of Islamic dress which is considered (by the speaker or some authority) not to be
کلمات		noun	broken plural of کلمه (kalima /kaleme)
سرکرده		noun	leader, chief, head
آذرگون		noun	marigold (Calendula officinalis)
خونیرث		noun	Xwanirah, the central and largest of the continents in Zoroastrianism and Old Iranian Mythology, believed to b
مغاک		noun	hole
دنبال آمدن		verb	to come after, come for, come get
مارمولک	مارْمولَک	noun	lizard
دماسنج	دَماسَنْج	noun	thermometer
حرارتی		adj	thermal
درمورد		prep	about, concerning, regarding
عوض		noun	substitute
زیر گرفتن		verb	to run over
کبود شدن		verb	to get bruised
له شدن		verb	to get smashed, to get squashed
لیز خوردن		verb	to slide, slip
خوش گذشتن		verb	to pass pleasantly (said of time)
ژکیدن		verb	to grumble
ناپدید	ناپَدید	adj	invisible, hidden
ناپدید شدن		verb	to disappear, vanish
سحرخیز		noun	early riser
بلندگو		noun	loudspeaker, megaphone
امضا کننده		noun	signatory
بچگانه		adj	childish
ادامه دادن	اِدامه دادَن	verb	to continue, keep on doing
نیمکت		noun	bench
کتک زدن	کُتَک زَدَن	verb	to beat up, to thrash
تفنگچه		noun	handgun
خویشتنداری		noun	abstinence, continence, restraint
جرثقیل		noun	crane (mechanical lifting machine)
مشارکت		noun	participation, partnership
واقعا		adv	really; actually
