lafz	aeraab	qism	maani_en	kyun
لپ		noun	cheek	platts
توتون		noun	tobacco	platts
زونی		noun	knee	platts
جمعیت		noun	population	platts
بشریت		noun	humanity	arbi
آدمیت		noun	humanity	platts
مؤدب		adj	polite	arbi
صادر		adj	issued; outgoing	platts
سقط		noun	abortion; usually as سقط جنین (seqt-e janin).	platts
شاب		noun	youth, young person	platts
تقابل		noun	encounter, confrontation	arbi
لمس		noun	touch	platts
قین		adj	difficult, hard	platts
آغاز شدن		verb	to begin, to start	rishta:اغاز
بیمار شدن		verb	to fall ill	rishta:بیمار
خاش		noun	bent of minute particles of wood, straw, rags or other things, chips, parings	platts
افتو		noun	sunlight, sun	platts
چیش		noun	eye	platts
خش		noun	scratch	platts
چردن		verb	to graze	platts
شمیدن		verb	to faint	platts
بلع		noun	swallowing, gulp	platts
ضاد		noun	the letter ض	platts
حزن		noun	grief, sadness	arbi
مدرس		noun	instructor, teacher, lecturer	platts
توافق		noun	agreement, deal	platts
سیلاغ		noun	hole, cavity, bore, orifice, slot	platts
قلا		noun	crow (bird)	platts
خوسیدن		verb	to sleep	platts
چوغ		noun	wood	platts
جوغ		noun	stream	platts
توقف		noun	stop, stopping, halt	platts
زاد		noun	luggage	platts
پوز		noun	snout, muzzle (protruding part of an animal's head)	platts
قصب		noun	reed; cane	platts
خجل		adj	ashamed; bashful	arbi
اکتشاف		noun	exploration	arbi
وجب		noun	span	platts
بطن		noun	ventricle (of the heart or brain)	platts
فرسادن		verb	to send	platts
دولاب		noun	cupboard; closet	platts
اینک		intj	lo! behold!	platts
دله		adj	stray, wandering	arbi
خین		noun	blood	platts
مر		particle	Occurs before a word or phrase followed by را (râ), the accusative-dative-genitive marker.	platts
گوناگون		adj	different, various, diverse, sundry	platts
بزرگ شدن		verb	to grow up, grow	rishta:بزرگ
مستطیل		noun	rectangle	platts
تداوم		noun	continuation, continuity	platts
جدا شدن		verb	to separate, to be separated	rishta:جدا
جستجو کردن		verb	to search, to look for	rishta:جستجو
محکومیت		noun	condemnation	platts
ستاره نوترونی		noun	neutron star	rishta:ستارہ
انتشار		noun	publication	arbi
پژوهش کردن		verb	to research	rishta:پژوہش
تناسلی		adj	reproductive	platts
ورزشی		adj	athletic	platts
واکنش		noun	reaction	platts
دفع		noun	warding off, driving away, repelling	platts
فاحش		adj	egregious	arbi
درست کردن		verb	to make, to prepare	rishta:درست
وصف		noun	description	platts
تفسیر کردن		verb	to interpret; to explain	rishta:تفسیر
عشق ورزیدن		verb	to make love	rishta:عشق
اعتماد داشتن		verb	to trust	rishta:اعتماد
اقامت داشتن		verb	to reside, to live	rishta:اقامت
کنش		noun	act, action	platts
خوانش		noun	reading	platts
رعنا		adj	handsome; attractive	platts
شخصی		adj	personal	platts
گم شدن	گُم شُدَن	verb	to be or get lost	rishta:گم
زبان اوستایی		noun	Avestan	rishta:زبان
اوستایی		adj	Avestan	platts
تمرین کردن		verb	to practice (to use a skill repeatedly or habitually to improve one's proficiency therein)	rishta:تمرین
توصیف کردن		verb	to describe	rishta:توصیف
نگاره		noun	chart	platts
نیایش		noun	praise	platts
مفتون		adj	charmed, bewitched, spellbound	platts
چر		adv	why	platts
یخ بستن		verb	to freeze	rishta:یخ
ثنویت		noun	duality	platts
مرتعش		adj	trembling	platts
ناحیه		noun	area, region, zone	platts
تحصیل کردن		verb	to study	rishta:تحصیل
تمام شدن		verb	to be completed, to be finished, to end	rishta:تمام
تمام کردن		verb	to complete, to finish	rishta:تمام
امیدوار بودن		verb	to hope	rishta:امیدوار
پشیمان بودن		verb	to regret, to be sorry	rishta:پشیمان
شاهد بودن		verb	to witness	rishta:شاہد
متعلق بودن		verb	to belong	rishta:متعلق
دراز کشیدن		verb	to lie down	rishta:دراز
زحمت کشیدن		verb	to labor, to toil, to work or try hard	rishta:زحمت
گوشتی		adj	fleshy	platts
خط زدن		verb	to scratch	rishta:خط
خنثی کردن		verb	to neutralize	rishta:کردن
متوسط	مُتَوَسِّط	adj	medium, middle	platts
هیکل		noun	temple (house of worship)	platts
تعجب کردن	تَعَجُّب کَردَن	verb	to wonder	rishta:تعجب
ببا		noun	dad, daddy, father	platts
پش		noun	louse	platts
بەت		noun	duck	platts
سفی		adj	white	platts
هاپو		noun	doggy	platts
علامت جمع		noun	plus sign	rishta:علامت
علامت مساوی		noun	equal sign	rishta:علامت
علامت منها		noun	minus sign	rishta:علامت
درشت		adj	big, large	platts
ریز		adj	small, minute	platts
شاهکار		noun	masterpiece	platts
رختن		verb	to pour	platts
بلوک		noun	cluster of villages or towns constituting a district under a province (ولایت) (pl. ـات)	platts
ماک		noun	colostrum	platts
جر		noun	cleft, fissure	platts
گنم		noun	wheat	platts
غل		noun	rolling, tumbling	platts
موشک		noun	missile	platts
اشتر		noun	archaic and Hazaragi form of شتر (šotor, “camel”)	platts
خرسند		adj	happy, content, satisfied, pleased	platts
گس		adj	acerb, acrid	platts
دراج		noun	francolin	platts
دیم		noun	face, visage	platts
مزار		noun	tomb	platts
زیویدن		verb	to live	platts
شنگ		noun	trunk of elephant (in Burhān-i-Qāṭiʿ.)	platts
یک بار دیگر		adv	once again	rishta:یک
نزدیک شدن به		verb	to approach	rishta:نزدیک
قار		noun	egret	platts
شروع کردن		verb	to begin, to start, to commence (something)	rishta:شروع
کر کردن		verb	(transitive) to hide, to conceal	rishta:کر
سوشیانس		noun	Saoshyant	platts
سوشینت		noun	Saoshyant	platts
سوشیانت		noun	Saoshyant	platts
تغار		noun	tub, trough	platts
تجر		noun	winter house; storehouse	arbi
لوظ		noun	accent	platts
پسی		noun	boy	platts
گاش		noun	sheep barn	platts
کوم		noun	desire, wish	platts
کلپ		noun	beak (birds)	platts
گرس		noun	curl, ringlet	platts
پهلوی		adj	ancient, pre-Islamic; of or relating to the age of the Iranian heroes before Islam	platts
پاسدار		noun	guard, sentinel, watchman	platts
بدهی		noun	debt	platts
آمیریان		noun	a surname from Armenian	platts
آوند		noun	vessel	platts
پیشوند		noun	prefix	platts
مله		noun	swimming	platts
هجا		noun	syllable	platts
سنان		noun	spearhead, the iron on a lance or javelin or other weapon	platts
کیچه		noun	alley	platts
اوسن		adj	pregnant	platts
تور		noun	net	platts
آرت		noun	flour	platts
هنی		adv	still	platts
نهاز		noun	fear; awe	arbi
ترسن		verb	to be able; can	platts
رژ لب		noun	lipstick (make-up for the lips)	rishta:لب
گاب		noun	cow	platts
لیسه		noun	slug	arbi
لیک		noun	scream	platts
کنجر		noun	elephant	platts
مندن		verb	to remain	platts
بایستی		verb	should, ought to	platts
سپهر		noun	sky, heaven	platts
بیرونی		adj	outer, external	platts
خاصه		noun	peculiarity, characteristic, property	arbi
هجده		num	eighteen	platts
دیزی		noun	a type of persian clay pot	platts
آمادن		verb	to come, to arrive	platts
سرداب		noun	basement; underground dwelling; crypt	platts
امرو		adv	today	platts
اینه		noun	mirror	platts
ترسا		adj	Christian	platts
اوسار		noun	halter (for animals)	platts
اسپریس		noun	racecourse, hippodrome	platts
کرند		adj	of a yellowish red or light brown color; bay (especially of horses)	platts
ابرش		noun	spotted horse	platts
خنگ		adj	dumb, stupid	platts
سمند		adj	Of a yellowish color (especially of horses).	platts
همو		adj	that very one	platts
سلط		noun	bucket	platts
دخدر		noun	daughter	platts
هشد		num	eight	platts
پشد		noun	back	platts
شهمات کردن		verb	to checkmate	rishta:شہمات
سپ		noun	cheek	platts
منگ		noun	rust	platts
تیریک		noun	marble	platts
تفکه		noun	saliva	arbi
گولو		noun	cat	platts
شملی		noun	fenugreek	platts
خنج		noun	scratch (act of scratching)	platts
کازو		noun	peanut	platts
هیلو		noun	swing (hanging seat)	platts
فیت		noun	fist	platts
دومن		adv	downward, downwards	platts
شکال		noun	prey	platts
اشتو		noun	hurry	platts
لیر		noun	sludge	platts
اسلیمی		noun	arabesque	platts
اسپل		noun	spleen	platts
آفری		intj	Herati form of آفرین (āfarīn /âfarin, “well done, bravo”)	platts
شاهنشاه		noun	shahanshah	arbi
دورو		adj	two-faced, two-sided	platts
شونم		noun	dew	platts
توه		noun	frying pan	platts
چش		noun	eye	platts
خوره		noun	leprosy	platts
نول		noun	the outer part of the mouth; a beak, bill	platts
توأم		adj	twin	platts
تلو		noun	thorn	platts
شه		intj	fie	platts
خنه		noun	house	platts
شکمی		adj	abdominal	platts
پ.ن		noun	P.S.	platts
تفور		noun	clay; earthenware	platts
مرخ		noun	a particular tree	platts
خرنج		noun	scratch (act of scratching)	platts
پار		noun	jump	platts
بلگ		noun	leaf	platts
بارو		noun	rampart, bulwark	platts
وایشتن		verb	to return	platts
واگشتن		verb	to return	platts
بیدن		verb	to be (See the Usage Notes)	platts
افغانی		adj	Afghan	platts
کنده		noun	moat	arbi
به هم زدن		verb	to stir	rishta:بہ
میخی		adj	cuneiform	platts
ماهور		noun	dune	platts
ترسایی		noun	Christianity	platts
نخون		noun	nail, fingernail	platts
دوما		noun	bridegroom	platts
بادگیر		noun	windcatcher	platts
کاریز		noun	qanat, karez	arbi
نزد		prep	near, by, next to	platts
قربک		noun	frog	arbi
مصمم		adj	resolved, having made up one's mind	arbi
کالواس		noun	kielbasa	platts
کلنت		noun	pick, pickax(e)	platts
مشهود		adj	evident, obvious	arbi
نومد		contraction	did not came	platts
غریبه		noun	stranger	arbi
دلاک		noun	attendant or waiter at a Turkish bath	platts
کلون		noun	latch	platts
چت		noun	roof, ceiling	platts
امس		noun	yesterday	platts
خوردنی		adj	edible	platts
پس از		prep	after	rishta:از
پیوست		noun	attachment	platts
کذایی		adj	so-called	platts
طائر		noun	bird	platts
پیوستن		verb	to join; to unite with	platts
رخ دادن		verb	to occur, to happen	rishta:رخ
روی دادن		verb	to occur, to happen	platts
هیچ		adj	tiny, insignificant, inconsiderable	platts
نیست		adj	annihilated	platts
بیگ مک		noun	Big Mac	rishta:بیگ
صاعقه		noun	lightning, thunderbolt	platts
کیله		noun	a measure (unit of measurement)	platts
صدق		noun	truth, sincerity	platts
آونگ		noun	pendulum	platts
طغرا		noun	tughra	platts
پیروز		adj	victorious, triumphant	platts
از یک سو		adv	on the one hand	rishta:از
از یک طرف		adv	on the one hand (literally: from one side)	rishta:از
از طرف دیگر		adv	on the other hand, then again	rishta:از
هیس		intj	shh	platts
خسروانی		adj	royal	platts
نمو		noun	growth, development	platts
پیک		noun	messenger, courier	platts
نشادر		noun	ammonium chloride, sal ammoniac	platts
ورد		noun	rose	platts
آهوپای		noun	muqarnas	platts
یکدیگر		pron	each other, one another	platts
استفهام انکاری		noun	A rhetorical question in which the speaker means to say the answer is negative.	rishta:استفہام
انعکاس		noun	reflection	platts
فاعل		noun	subject	platts
چه کسی		pron	who	rishta:کسی
بازرگان		noun	merchant, trader	platts
سپنتا		adj	holy	platts
بازرگانی		noun	merchandise, trade	platts
توهم		noun	illusion	arbi
زال		noun	albino	platts
جوزا		noun	twins	platts
غره		adj	arrogant, proud	platts
تعارف کردن		verb	to practice ta'arof; to be polite and deferential, to compliment or flatter; to be generous, to serve or offer	rishta:تعارف
واسه		prep	for, by reason of, for the sake of	platts
نجوا		noun	whisper	platts
وظیفه		noun	duty, obligation; task	arbi
گوسان		noun	gusan	platts
تازیک		noun	Arab; Arabic	arbi
به سلامت		intj	goodbye	rishta:بہ
برزخ		noun	barzakh	platts
سده		noun	century	arbi
کنگر		noun	thistle (Cirsium et Carduus spp.)	platts
اتراق کردن		verb	to lay over	rishta:کردن
اتراق		noun	the act of laying over	platts
متحیر کردن		verb	to surprise or amaze	rishta:کردن
فلان		noun	so-and-so, such-and-such; a generic placeholder name, used when one does not wish to specify a name.	platts
بهمان		noun	so-and-so	arbi
کهربا		noun	amber	arbi
بهاریه		noun	bahariyye	arbi
شاعرانه		adj	poetic, poetical	platts
راجع به		prep	regarding, about	rishta:راجع
شر و ور		noun	nonsense	platts
شکوفه		noun	flower, blossom, bloom	arbi
برخوردار		adj	enjoying the profits from; possessing (something good)	platts
ورزا		noun	ox	platts
امرار معاش کردن		verb	to make a living	rishta:معاش
کرد		noun	nomad	platts
کلیک کردن		verb	to click	rishta:کردن
مطلع		adj	informed, aware	platts
الگو		noun	pattern	platts
به کار بردن		verb	to use	rishta:بہ
دیار		noun	country, land	platts
هراتی		adj	Herati	platts
تکرار کردن		verb	to repeat	rishta:تکرار
به خودی خود		adv	per se, by itself	rishta:بہ
موقت		adj	temporary, provisional	platts
لفاف		noun	envelope, wrapping, covering	arbi
قرض دادن		verb	to lend	rishta:قرض
سیمین		adj	silver, silvery	platts
کاک		noun	a kind of layered pastry	platts
داروغه		noun	daroga, police chief	platts
جغه		noun	synonym of بته جقه (botte jeqqe)	platts
جقه		noun	synonym of بته جقه (botte jeqqe)	arbi
هامون		noun	plain, level ground	platts
مانی		noun	great painter (one as great as Mani, who illustrated the Arzhang)	platts
پارسا		adj	pious; devout	platts
میل داشتن	مِیْل داشْتَن	verb	to want, to like, to desire	rishta:میل
کویر		noun	dry lake	platts
چنار		noun	poplar	platts
تکواندو		noun	taekwondo	platts
کشتی فرنگی		noun	Greco-Roman wrestling	rishta:کشتی
بادیان		noun	fennel	platts
دل به دریا زدن		verb	to risk	rishta:دل
آبزن		noun	bath, pool	platts
تظاهر		noun	pretending, feigning, dissimulation	arbi
آوازه		noun	fame	arbi
قهوه ترک		noun	Turkish coffee	rishta:قہوہ
شکل دادن		verb	to form, to give shape	rishta:شکل
بد آمدن		verb	to dislike; see Usage notes	rishta:بد
مزخرف		adj	golden, decorated, prettified	arbi
اینقدر		adv	this much; so much	platts
آنقدر		adv	that much	platts
تقیه		noun	taqiyya	arbi
انسان کامل		noun	Insan-i Kamil	rishta:انسان
عمه		noun	paternal aunt	platts
دفن کردن		verb	to bury	rishta:دفن
انجام دادن		verb	to do, to perform	rishta:انجام
عجم		noun	Persian; Iranian; Ajam	platts
یکبار		adv	once	platts
قرآنی		adj	Quranic	platts
به زبان آوردن		verb	to bring up, to mention	rishta:بہ
به یاد آوردن	بِه یاد آوَرْدَن	verb	to remember, to recall	rishta:بہ
سعی کردن		verb	to try (takes a secondary verb in the subjunctive)	platts
عباسی		adj	Abbasid	platts
کاربرد		noun	use, usage, application	platts
مبنا		noun	foundation, base, basis	arbi
به نظر آمدن		verb	to seem, appear	rishta:بہ
پارو		noun	shovel	platts
گرون		adj	expensive	platts
چنان		adj	such as that	platts
تصوف		noun	Sufism	arbi
پیچیدن		verb	to twist	platts
به جای		prep	instead of	arbi
سار		noun	starling	platts
تجمل		noun	luxury, sumptuousness, glitz	arbi
خواب بردن		verb	to fall asleep	rishta:خواب
هر دو		pron	both	platts
تماس		noun	contact	platts
تجدید		noun	renewal	arbi
در هر حال		adv	anyway, anyhow	rishta:در
انگشت پا		noun	toe	rishta:پا
استراحت کردن	اِستِراحَت کَردَن	verb	to rest	rishta:استراحت
اماکن		noun	broken plural of مکان (makān /makân)	platts
سرودن	سُرودَن	verb	to sing, chant	platts
توجه کردن		verb	to pay attention; to concentrate	rishta:توجہ
خواهش کردن		verb	to request	rishta:خواہش
یقین داشتن		verb	to be sure, to be certain	rishta:یقین
حیف		noun	pity, shame	platts
قزاق		noun	pirate, buccaneer, corsair	arbi
خرفت		noun	idiot, fool, dolt, imbecile	arbi
بهاری		adj	vernal, pertaining to spring	platts
مربوط به آینده		adj	futuristic	rishta:بہ
عقیده		noun	belief, creed	arbi
ازبکی		adj	Uzbek	arbi
ولسوالی		noun	a sub-division of ولایت (wilāyat): district	platts
شیشه جلو		noun	windscreen, windshield	rishta:شیشہ
قلیا		noun	alkali	platts
رعیت		noun	commoner, subject	platts
تیشه		noun	hatchet	platts
هیزم		noun	firewood	arbi
مزرعه		noun	farm	arbi
بوران		noun	blizzard, snowstorm	platts
اکسیر		noun	elixir	platts
توجیه		noun	justification	arbi
خاتم		noun	a drawing	arbi
آدمکش		noun	assassin, murderer	arbi
جوش دادن		verb	to weld	rishta:جوش
آزمایش واحد		noun	unit test	rishta:ازمایش
لحیم کردن		verb	to solder	rishta:کردن
آنگاه		conj	then	platts
ناگه		adv	synonym of ناگهان	platts
کرایه		noun	rent, fee for using another's property:	platts
مساعد		noun	favorable, propitious	platts
ترابری		noun	transportation	platts
پندار		noun	thought	platts
احیانا	احیاناً	adv	possibly, by any chance	platts
اعدام		noun	execution (killing)	platts
اعدام کردن		verb	to execute (kill)	rishta:کردن
مغ	مُغ	noun	magus	platts
ترفیع		noun	promotion	platts
قشنگی		noun	beauty; elegance	platts
فرار کردن		verb	to escape, to flee	rishta:کردن
ترجیح دادن	تَرجیح دادَن	verb	to prefer; would rather...	rishta:ترجیح
پوپک		noun	hoopoe	platts
گدار		noun	ford, gorge	platts
نشئه		adj	drunk, intoxicated	platts
قرمطی		noun	Qarmatian	platts
خرف		adj	senile	platts
آشفته		adj	disturbed, distressed, disquieted, flustered, upset, troubled	arbi
مصون		adj	immune, exempt	platts
زنبق		noun	the flower iris	arbi
عامیانه		adj	colloquial	platts
فیلمی		adj	of a film	platts
طعم		noun	taste	platts
مادیان		noun	mare; the female of a horse and sometimes other equine animal	platts
کز		contraction	از که	platts
جعل		noun	forgery, counterfeit	platts
خاموش کردن		verb	turn off, switch off	rishta:خاموش
هجران		noun	a separation or remoteness from one's friend, beloved, or homeland	arbi
چایدان		noun	tea caddy (a box, jar, pot, or tin used to store tea leaves)	platts
کبود		adj	blue-gray	platts
بختیار		adj	auspicious, lucky	platts
خواستار		adj	wishful; requesting	platts
یواش یواش		adv	gradually, slowly	platts
زیگ		noun	cord	arbi
تکوک		noun	rhyton	platts
تخته نرد		noun	backgammon	rishta:تختہ
کرفس		noun	celery	arbi
قبا		noun	Quva (a city in Uzbekistan)	platts
له		adj	crushed, smushed	platts
زره		noun	armour	arbi
جذاب		adj	attractive	arbi
سنج		noun	cymbal	platts
بلعیدن		verb	to swallow, to devour	platts
تصحیح	تَصْحیح	noun	correction	arbi
میزراه		noun	urethra	arbi
اولویت		noun	priority	platts
خزیدن		verb	to crawl, to creep	platts
ظریف		adj	subtly elegant, graceful	platts
حقیقی	حَقیقی	adj	real, actual	arbi
وضعیت		noun	situation	platts
خط کرسی		noun	baseline	rishta:خط
عموم		noun	public, community	platts
لزوما	لزوماً	adv	necessarily	platts
ننه		noun	mother	arbi
گاز طبیعی		noun	natural gas	rishta:طبیعی
حرفه		noun	career, profession	arbi
زاق		noun	the young of anything	arbi
تلاش		noun	effort	platts
عارض		noun	plaintiff; complainant	platts
مایه		noun	stuff, matter, substance, essence	platts
کازه		noun	hut; cottage	arbi
تقیه کردن		verb	to practice taqiyya	rishta:کردن
ملوس		adj	cuddly	platts
تاک		noun	grapevine	platts
دوران		noun	circulation, rotation	platts
متشکل		adj	organized, formed, constituted of	arbi
نزاع		noun	dispute, quarrel, fight; (especially) street fight, brawl	platts
ترف		noun	qurut, kashk, black kashk	platts
یاسه		noun	yearning	platts
تنیدن		verb	to spin (a thread, a web, a cocoon, etc.)	platts
نیوشا		adj	receptive	platts
کرته		noun	tunic, kirtle	arbi
علت	عِلَّت	noun	cause, reason	platts
تالاب		noun	wetland	platts
خوتکا		noun	teal	platts
کولاک		noun	storm	platts
شناسایی		noun	recognition, identification	platts
ابزار		noun	tool, instrument, implement	platts
فرانک		noun	synonym of پروانه	arbi
آمارگر		noun	amargar	platts
آسیاب		noun	mill	platts
فوت کردن		verb	to pass away	rishta:کردن
گست		adj	disgusting, nasty	platts
فلاخن		noun	sling (weapon)	platts
ناب		adj	pure	platts
بزه		noun	sin	arbi
فرز		adj	fast, quick, brisk	platts
برده		noun	slave	platts
توسی		adj	light grey	platts
ناودان		noun	gutter, drainpipe	platts
گاتا		noun	Gatha	platts
پند		noun	knack, trick, gimmick	platts
سریدن		verb	to slide; to slip	platts
قرنفل		noun	carnation (flower)	arbi
ماسه	ماسِه	noun	sand, gravel	arbi
تاجور		noun	king	arbi
تکفور		noun	Armenian king, particularly those of Cilician Armenia	arbi
شوره		noun	nitrous earth; saltpetre	platts
جید		noun	long, slender, beautiful neck	platts
سیارک		noun	asteroid	platts
پازن		noun	ibex	platts
پهن		adj	wide, broad	platts
مجدد		adj	renewed, repeated, revised	arbi
تشی		noun	porcupine	platts
ترک ترک		noun	leaving, desertion	rishta:ترک
عجله		noun	hurry, haste	platts
هرج		noun	riot	platts
مرج		noun	confines	platts
تنک		adj	thin	platts
آذرخش		noun	lightning	arbi
آهار		noun	food	platts
فاش		adj	open, obvious	platts
دالان		noun	hall, corridor, vestibule	platts
ازناور		noun	a great lord	arbi
بریان		adj	grilled; roasted	platts
بایست		verb	must, had to	platts
تمب		noun	hill	platts
مومیایی		adj	of or pertaining to a mummy	platts
حوزه		noun	sphere	arbi
یدک		noun	led horse	platts
رشتن		verb	to color, to dye	platts
آماسیدن		verb	to swell	platts
نحو		noun	syntax	platts
تخریب		noun	destroying, destruction; devastation	arbi
وجهه		noun	side, direction	arbi
کف		noun	foam	platts
گشایش		noun	opening; act of becoming open	platts
گرامی		adj	precious, excellent	platts
ضمن		noun	content	platts
توسعه		noun	development, extension, expansion	platts
حجم		noun	volume, bulk, mass, magnitude	arbi
آغشتن		verb	to soak, steep	platts
مقاوم		noun	opponent	platts
خشن		adj	rough, rude, coarse, harsh	platts
نهادن		verb	to put; to place; to lay; to set	platts
نوین		adj	new	platts
شوید		noun	dill	platts
لوز		noun	almond	platts
تضمین		noun	guarantee	arbi
توزیع		noun	distribution	platts
ویراستن		verb	to arrange, prepare	platts
ملوان		noun	sailor	platts
توسکا		noun	betulaceous tree, alder or birch (whereof the disyllables more often alder and the monosyllables birch)	platts
نغز		adj	good	platts
ناچخ		noun	A medieval polearm, a halberd	platts
نیوشیدن		verb	to listen; to accept	platts
شادمان		adj	happy; jubilant; glad of mind	platts
ژوژ		noun	hedgehog	arbi
پیوسیدن		verb	to hope	platts
ستردن	سِتُردن	verb	to wipe	platts
زدودن		verb	to remove (dirt, an impurity, body hair, etc.)	platts
توبره		noun	bag, sack	arbi
فرناس		adj	unaware, oblivious	arbi
تاوستن		verb	to endure	arbi
درود بر تو		intj	well-being to you, peace to you, peace be upon you	rishta:درود
گرویدن		verb	to convert, come to faith	platts
وخشیدن		verb	to grow, to wax	platts
بامی		adj	beaming, radiant, brilliant, shining	platts
توژ		noun	birchbark	platts
ناژو		noun	pine tree	platts
غسل کردن		verb	to take a bath, take a shower, bathe.	rishta:غسل
ریه		noun	lung	platts
مویرگ		noun	capillary	platts
داس		noun	sickle	platts
اشتلم		noun	violence	platts
شناور		adj	floating	platts
کاسب	کاسِب	noun	merchant, shopkeeper, tradesman	platts
کاسبی		noun	business of trading	platts
تالاسمی		noun	thalassemia	arbi
فرمانده		noun	commander, general	platts
ارباب		noun	boss	platts
پیکار		noun	battle	platts
مملو		adj	full	arbi
خشاب		noun	magazine, ammunition clip	platts
داروساز		noun	pharmacist	platts
داروسازی		noun	pharmaceutics, pharmacy (science of medicinal substances)	platts
ملافه		noun	bedsheet	arbi
تنبیه		noun	reprimand, reproach, warning	arbi
پولیو		noun	polio	platts
فلج اطفال		noun	poliomyelitis	rishta:اطفال
فلج		noun	paralysis, palsy	arbi
پولادی		adj	made of steel	platts
جه		noun	Kabuli and Hazaragi form of جا	platts
تشک		noun	mattress, pad	platts
سوخ		noun	onion	platts
مروزی		noun	a person from Merv	arbi
مولانا		noun	maulana; a title for religious scholars, most famously held by the poet Rumi	platts
لام		noun	27th letter in the Persian alphabet (ل)	platts
شهریه		noun	tuition	arbi
هشدار		noun	warning	platts
سقوط	سُقوط	noun	fall, falling, downfall	platts
کبد		noun	liver	platts
پلکان		noun	stairs, staircase	platts
داشن		noun	gift, present, donation	platts
کومه		noun	heap, mound	arbi
نیاز داشتن		verb	to need, to require	rishta:نیاز
رمق		noun	last breath (of life)	platts
رویکرد		noun	approach	platts
تأمل	تَأَمُّل	noun	consideration; reflection; contemplation	platts
کولتور	کُولْتُور	noun	culture	platts
گرداب		noun	whirlpool	arbi
سرود		noun	anthem	platts
شایعه		noun	rumour	platts
کوچ		noun	migration (originally of nomadic tribes, now generally)	platts
سوخت		adj	burnt	platts
تضاد		noun	opposition, being contrary, being in conflict	arbi
سند		noun	document, deed	platts
ضعف		noun	weakness	platts
گردنا		noun	spit, skewer	platts
گاماس		adv	slowly	arbi
الوس		noun	white horse	platts
نبید		noun	wine	platts
شرنگ		noun	colocynth	platts
کاس		noun	hog	platts
اسبه		noun	dog	platts
جالیز		noun	A vegetable patch; vegetable garden	arbi
آکج		noun	hook	platts
کانا		adj	stupid, foolish	platts
انتفاعی		adj	for-profit	platts
ساستا		noun	tyrant	platts
زند		noun	Zand (member of the Zand tribe)	platts
کندو		noun	beehive	platts
نجات		noun	salvation, saving	platts
پایستن		verb	to remain	platts
پانید		noun	condensed juice of sugarcane, syrup, molasses	platts
سام		noun	fire	platts
اندودن		verb	to besmear	platts
حل کردن		verb	to dissolve	rishta:حل
تلقی کردن		verb	to regard	rishta:کردن
تلقی		noun	receiving	platts
موقعیت		noun	position, situation	platts
اقتضا کردن		verb	demand	rishta:کردن
موثق		adj	reliable, trustworthy	platts
مهار		noun	halter, longe, bridle	platts
مناقشه کردن		verb	to dispute, quarrel	rishta:کردن
یارستن		verb	to be able to	platts
ستور		noun	pack animal, beast of burden	platts
نیان		noun	hidden treasure	platts
فرارون		adj	forward	platts
لاغ		noun	joke, jest	platts
اشتباه لپی		noun	slip of the tongue	rishta:اشتباہ
اقتضا		noun	unhamzated form of اقتضاء (“exigency, demand”)	arbi
بحبوحه		noun	middle part	arbi
لاف		noun	boast	platts
غژب		noun	a grape	arbi
کخ		noun	goblin, bogey	platts
مزنه		noun	cloud; rain cloud	arbi
شفک		adj	shabby; mean	arbi
باخه		noun	turtle, tortoise	arbi
سندان		noun	anvil	platts
سکان		noun	rudder	platts
وسناد		prep	because of, on account of	platts
خنیاگر		noun	entertainer	platts
خنیا		noun	music	platts
هسر		noun	ice	platts
انتقاد کردن		verb	to criticise	rishta:کردن
جبهه		noun	front, face, façade	arbi
شفتالو		noun	nectarine	platts
مجسمه		noun	sculpture (work of art created by sculpting), statue	arbi
ادامه		noun	continuation	arbi
لوید		noun	cauldron	platts
پمپ بنزین	پُمْپِ بِنْزین	noun	petrol station, garage	rishta:بنزین
حس		noun	sense	platts
رقص باله		noun	ballet	rishta:رقص
باله		noun	fin	arbi
ورتاج		noun	mallow	arbi
خوید		noun	seedling	platts
شمر		noun	pond	platts
جواهر		noun	jewel, jewellery	platts
جواهری		noun	jeweller's, jewellery shop	platts
دسته چک	دَسْتِهٔ چِک	noun	chequebook	rishta:دستہ
کوک کردن		verb	to tune	rishta:کردن
خرک		noun	A small donkey.	platts
یبوست		noun	constipation	platts
عزادار		adj	mournful, in mourning	platts
میده		noun	fine wheat flour; sifted flour	arbi
پایگاه	پایْگاه	noun	base	platts
شنگویر		noun	ginger	platts
پرتو		noun	ray, ray of light	platts
مندل		noun	the charmed circle of a conjuror	platts
توصیه		noun	recommendation	platts
انتحار		noun	suicide	arbi
انتحاری		adj	suicidal, relating to suicide	arbi
مثانه		noun	bladder, urinary bladder	arbi
دیابت		noun	diabetes	platts
عفونت		noun	infection	platts
بیماری قند		noun	diabetes	rishta:بیماری
چیالک		noun	strawberry	platts
بواسیر		noun	haemorrhoids	platts
آوردگاه		noun	battlefield	arbi
ساق		noun	foreleg, shank, shin	platts
مدور		adj	round, circular	platts
ادغام		noun	amalgamation, coalescence, merge	arbi
جواری		noun	sorghum	platts
اندی		adv	otherwise	platts
بردگی		noun	slavery	platts
انفجار		noun	explosion	arbi
انفجاری		adj	explosive	arbi
بانکدار		noun	banker	platts
حمله انتحاری		noun	suicide attack	rishta:حملہ
ایدر		adv	here	platts
سهل ممتنع		adj	Difficult or complicated (of thing, concept, or task) while looking easy to comprehend, do, or imitate at firs	arbi
