# uz-lughat-alt — رومن کی دوسری املا · کنجی = uz-lughat.json کا id
# ہر سطر:  id <tab> املا|املا|املا
548	haqeeqt|haqeqat|haqiqat|haqiqiat
549	sch|such
550	jhot
551	sachha|scha
552	suchi
554	jhootha|jhota|jhta|jhuta
555	axha
556	axhi
559	brii
564	porana
565	poorani|porani
569	sakhat|sakhet
570	naram|nuram
571	garam
572	surd
573	thunda
575	metha|methaa
577	kerva|kerwa
579	shareen|shereen
580	hasin
581	khobsorat|khobsurat|khoobsorat|khubsoorat
584	musst|must
587	khaber|khabr|khbar|khbr
588	assar
590	nizara|nzara
593	jhuluk
594	akas|aqs
595	serat
596	sorat
598	aadit|adit|adut
602	zarorat|zarort|zroorat
603	hajjat
604	aziat|azziyat
610	chekh|chekhh
611	rahain|rahien|rhain
614	shiffa
616	badter|badtr
620	khura
621	khri
623	shaq
624	kr|krr
625	dhachiyan|dhajiyan
626	yakeen|yakin|yaqen
628	aitabar
632	bndagii|bundagi
636	namk
638	sholaa
645	manzor|manzur|mnzor
646	namanzor|namnzor
649	hadh|hd|hud
650	hadain
652	laazim
660	wakt|waqat|waqit|wkt
661	lumha
663	saddi
664	zamaana
668	bachpen|bachpn|bchpen|bchpn
671	mazii
673	aagaz|agaaz|agaz
674	anjaam|anjm|injam|unjam
675	akher|akhr
676	akhari|akhri
677	pahila
682	tesra
683	huzaar|hzar|hzr
686	ten
687	chaarr
689	ghr
690	derr
691	derawazaa|dervaza|derwaza|drwaza
694	angen
695	galli|ghali|gli
697	gaoun|gouon
701	makaan|maqan
705	watn
707	perdes
710	janaat|janat|jnnat|jnnet
714	nor
718	es
720	en|ian|inn
722	ese|isse
723	osi
730	m|mn
731	kaya|kea|kia
735	parr|pr
737	kall|kl
739	dem
753	khulla
754	khilaa
760	dhann|dhen
764	jilla|jla
767	urra
773	idher|idhir|idhr|idr
774	udher|udhr|udr|udrr
777	husan|husen|husin|husun
782	mre
785	bna
787	bann|bn
791	shukar
792	shakkar
793	sarr
794	surr
796	dor|dour
797	gull
805	hoa
806	hova|howa|huwa|hwa
809	pl
821	joo
823	yeah
830	oo
833	walla|wla
835	wle
836	mra
842	hga|honga|huga
857	raatoun
858	kaaaam|kaaam|km
859	naaam|nm
861	shm
862	ajj
867	raoz|rooz
868	harr
869	jeta
871	jeette|jete|jette
873	dedaar|dedar|deedaar
875	smne
876	aagae|agae
877	pass
878	chnd
883	aahkoon|aankon
891	chhaiye
894	achanek|achanuk|achinik|achnk
895	yaaar|yarr|yr
898	jea|jeya|jia
900	daghh
904	ishaara
907	nandan
911	devana|dewana|dewanaa
914	mastanna
917	aawaaz|awz
921	arzo|aurzo
928	aie
929	ooye
935	hamed
937	umer|ummer
975	ibrahem
976	ismael
979	esa
980	haron
987	idres
993	hmza|humza
1008	amer
1026	faisl
1028	farez|frz
1031	faez|faiyz
1038	jamaal
1039	jamel
1040	jalaal
1042	javd
1046	jahangeer|jahanjir
1049	kamel
1050	karem|kreem
1061	maalik|maliq|malk|mlik
1088	neaz|niyaz
1091	naizam|nazam|nezam|nizaam
1094	kamsin
1099	rahmaan
1103	rafeeq
1106	raes|rayas
1108	rmzan
1120	sarfaraaz|sarfraz
1124	shahed
1128	sharef|shreef|shrif
1142	taufeek
1175	hader|haidr
1177	hafez
1178	haafiz
1182	hanef
1183	hakem|haqeem
1189	aslaam|aslem|aslm|aslum
1197	iftakhaar|iftakhar|iftikhaar
1203	aameeeenn|aamen|aamin
1213	babbar|baber
1217	bahudar|bhadr|bhadur
1218	charaag|charaagh|chiraag|chiraagh
1222	ghulaam|gulaam|gulam
1223	gaffar|ghafar
1226	gulzaar
1229	haashim|hashm|hshim
1235	rahimat|rahmet|rahmt
1271	gelani|gillani
1280	rja
1285	rajpot
1286	pthaan|pthan|puthan
1297	hafsaa
1322	anayat|inayet
1327	afrenn
1332	emaan|ieman
1351	khaaton|khaton|khatoun|khattoun
1362	hena|henaa
1367	hasena
1368	hifzaa
1394	zanat|zeent|zenat
1403	samn
1418	shagfta|shaguftaa
1439	toba|tobba|tobha
1463	kauosar|kosar
1465	lailaa
1521	humma
1529	kashaif|kashuf
1530	ayet
1556	aaainda|aenda|ayinda
1564	abbad
1567	aabaadi|aabadi|abbadi
1581	aakhirat|akherat|akhrat|akhriat
1602	arm
1622	azaadi
1628	azmaishyn
1636	aasani|axani
1638	asn|assan
1641	aasman|asmaan
1643	aasimani
